date,tv_ad_spend,radio_ad_spend,social_media_spend,discount_percent,is_holiday,day_of_week,month,competitor_price,sales_units
23-03-2023,1842.81,200.14,259.47,8.23,0,3,3,106.16,235
24-03-2023,1862.97,560.03,1023.04,21.88,0,4,3,98.75,991
25-03-2023,1717.98,185.99,1193.29,9.29,0,5,3,82.32,749
26-03-2023,1960.77,556.11,1165.33,16.2,0,6,3,121.99,875
27-03-2023,1540.98,247.61,542.79,27.7,0,0,3,98.61,722
28-03-2023,1576.4,316.41,387.36,16.18,0,1,3,115.28,494
29-03-2023,1572.66,311.65,735.06,18.51,0,2,3,98.73,845
30-03-2023,1065.09,587.56,865.54,2.2,0,3,3,122.18,12
31-03-2023,1021.61,399.88,1386.72,5.34,0,4,3,93.07,503
01-04-2023,632.41,320.97,1324.75,3.03,0,5,4,98.55,264
02-04-2023,1360.67,689.47,1382.48,22.94,0,6,4,114.15,934
03-04-2023,720.78,478.96,1290.37,25.08,0,0,4,95.47,708
04-04-2023,664.06,210.37,1450.41,5.59,0,1,4,96.4,339
05-04-2023,1254.73,725.07,751.7,6.58,0,2,4,124.77,217
06-04-2023,937.97,306.99,166.46,9.7,0,3,4,105,206
07-04-2023,593.94,79.23,216.99,17.73,0,4,4,111.02,53
08-04-2023,1668.9,420.95,646.39,18.65,0,5,4,108.96,820
09-04-2023,1749.03,142.95,460.76,20.6,0,6,4,117.26,639
10-04-2023,501.86,228.85,337.92,27.16,1,0,4,118.78,476
11-04-2023,213.51,610.33,1434.49,8.85,0,1,4,105.35,349
12-04-2023,805.03,148.06,373.59,19.76,0,2,4,93.26,400
13-04-2023,1635.52,655.21,1443.13,16.79,0,3,4,81.03,1116
14-04-2023,1710.51,752.68,1165.17,9.18,1,4,4,107.65,1014
15-04-2023,448.99,504.9,997.32,27.22,0,5,4,117.15,531
16-04-2023,1593.8,582.77,1046.43,2.86,0,6,4,100.27,618
17-04-2023,408.27,585.19,564.06,21.36,0,0,4,87.41,481
18-04-2023,902.11,794.61,1005,21.84,0,1,4,92.96,811
19-04-2023,1997.5,306.15,361.37,27.46,0,2,4,102.95,882
20-04-2023,546.66,172.14,1412.79,15.56,0,3,4,117.65,322
21-04-2023,477.13,439.38,522.51,9.65,0,4,4,87.73,236
22-04-2023,961.04,449.94,457.26,24.83,0,5,4,107.55,621
23-04-2023,1315.4,183.43,1095.63,23.12,0,6,4,113.9,819
24-04-2023,1879.22,509.83,1019.03,15.01,0,0,4,122.12,645
25-04-2023,1965.48,60.59,731.82,23.04,0,1,4,85.25,908
26-04-2023,325.35,745.75,985.42,8.04,0,2,4,121.69,60
27-04-2023,448.4,248.43,323.29,17.69,0,3,4,107.07,139
28-04-2023,1623.33,79.67,1042.66,25.96,0,4,4,114.5,669
29-04-2023,687.14,131.19,478.85,9.54,0,5,4,82.42,349
30-04-2023,1792.73,230.19,481.97,14.51,0,6,4,102.78,769
01-05-2023,1394.22,255.43,327.05,28.53,0,0,5,108.02,619
02-05-2023,401.32,74.61,565.33,23.95,0,1,5,93.81,408
03-05-2023,1698.55,259.52,563.75,26.61,0,2,5,99.42,664
04-05-2023,517.44,194.71,735.85,11.56,0,3,5,104.94,193
05-05-2023,962.29,333.97,366.59,29.9,0,4,5,104.86,561
06-05-2023,1193.93,338.88,370.21,4.58,0,5,5,81.88,430
07-05-2023,1101.38,304.26,858.43,15.56,0,6,5,99.78,612
08-05-2023,1435.09,295.94,280.43,14.38,0,0,5,89.62,486
09-05-2023,1374.84,117.3,1064.46,23.95,0,1,5,121.25,470
10-05-2023,1985.68,68.9,1421.53,27.26,0,2,5,123.95,931
11-05-2023,1998.96,201.59,697.51,21.93,0,3,5,93.48,880
12-05-2023,1129.63,617.49,1361.55,18.8,1,4,5,87.88,1072
13-05-2023,371.36,793.11,237.64,12.82,0,5,5,89.88,302
14-05-2023,1510.12,746.39,160.14,15.31,0,6,5,101.5,553
15-05-2023,1958,428.16,1109.92,15.28,0,0,5,119.35,697
16-05-2023,772.99,448.87,1165.43,0.61,0,1,5,102.5,288
17-05-2023,1030.18,285.94,1280.28,15.09,1,2,5,82.49,964
18-05-2023,964.6,630.45,179.54,25.68,0,3,5,81.79,593
19-05-2023,292.55,623.57,1187.67,21.28,0,4,5,90.23,562
20-05-2023,1410.08,683.2,627.15,23.87,0,5,5,117.92,732
21-05-2023,836.01,721.63,524.67,11.71,0,6,5,107.97,445
22-05-2023,1617.43,375.76,342.23,15.87,0,0,5,105.33,546
23-05-2023,1697.82,625.16,1494.42,1,1,1,5,94.35,761
24-05-2023,1678.22,654.8,189.13,11.49,0,2,5,121.82,384
25-05-2023,950,281.34,1257.81,14.23,0,3,5,94.9,486
26-05-2023,778.78,746.93,995.29,7.66,0,4,5,117.57,160
27-05-2023,1547.88,120.76,1129.11,0.94,0,5,5,120.32,345
28-05-2023,1642.5,795.7,1096.4,20.71,0,6,5,101.75,1007
29-05-2023,1084.26,627.57,1301.81,13.05,0,0,5,120.24,364
30-05-2023,1807.46,119.95,357.31,12.47,0,1,5,92.46,595
31-05-2023,459.04,542.17,101.15,7.5,0,2,5,109.63,4
01-06-2023,1782.32,75.63,937.94,16.13,0,3,6,83.96,760
02-06-2023,372.97,627.64,595.4,13.14,0,4,6,101.33,135
03-06-2023,476.35,649.42,273.3,14.22,0,5,6,89.78,304
04-06-2023,1160.91,501.81,360.59,17.43,0,6,6,82.82,718
05-06-2023,321.53,692.65,564.45,0.19,0,0,6,80.17,4
06-06-2023,295.05,123.41,198.33,27.23,0,1,6,94.61,341
07-06-2023,200.93,256.94,179.68,2.13,0,2,6,106.53,0
08-06-2023,985.37,360.63,1382.44,13.53,0,3,6,100.49,499
09-06-2023,1594.32,81.84,536.94,6.22,0,4,6,93.58,274
10-06-2023,262.71,386.16,1475.12,15.71,0,5,6,124.6,285
11-06-2023,1374.06,248.91,1450.11,8.41,0,6,6,122.28,515
12-06-2023,1681.63,344.55,299.6,25.8,0,0,6,85.65,724
13-06-2023,502.4,368.83,1100.89,11.89,0,1,6,98.68,310
14-06-2023,464.35,709.56,941.13,19.16,0,2,6,109.2,360
15-06-2023,1749.44,252.76,1066.91,7.47,0,3,6,113.01,413
16-06-2023,1681.62,720.31,234.67,0.58,0,4,6,96.49,368
17-06-2023,1170.1,369.48,363.98,12.12,0,5,6,113.58,210
18-06-2023,1674.56,295.86,207.29,16.09,0,6,6,85.59,721
19-06-2023,366.96,426.88,945.79,13.79,1,0,6,94.93,648
20-06-2023,910.07,363.31,1481.23,28.86,0,1,6,112.24,777
21-06-2023,1528.04,243.03,1040.78,21.21,0,2,6,108.16,677
22-06-2023,663.41,427.01,1095.07,29.87,0,3,6,117.67,514
23-06-2023,1554.19,163.85,1478.42,8.85,1,4,6,82.11,951
24-06-2023,1107.52,313.95,1049.22,23.67,0,5,6,87.85,824
25-06-2023,1550.48,474.34,156.25,16.67,0,6,6,82.18,750
26-06-2023,1036.42,360.06,1313.81,18.35,0,0,6,88.65,630
27-06-2023,862.23,667.93,610.55,29.58,1,1,6,80.19,1106
28-06-2023,594.54,242.54,106.11,19.62,0,2,6,102.69,297
29-06-2023,575.08,777.33,810.13,26.96,0,3,6,103.77,546
30-06-2023,1552.68,638.54,1411.82,21.77,0,4,6,109.61,742
01-07-2023,414.04,775.69,460.26,3.82,0,5,7,97.32,39
02-07-2023,354.77,678.6,788.12,20.98,0,6,7,80.14,621
03-07-2023,517.32,156.58,343.29,14.53,0,0,7,110.33,0
04-07-2023,515.62,444.85,180.77,27.56,0,1,7,82.44,492
05-07-2023,1681.59,177.48,212.76,24.21,0,2,7,118.98,407
06-07-2023,917.31,663.67,1117.82,3.12,0,3,7,81.02,425
07-07-2023,1982.7,488.12,1309.7,4.02,0,4,7,103.87,557
08-07-2023,446.98,247.59,300.62,2.09,0,5,7,120.27,0
09-07-2023,1376.37,747.2,503.65,14.8,0,6,7,105.76,522
10-07-2023,1007.71,136.39,373.04,2.42,1,0,7,107.38,165
11-07-2023,907.25,472.9,137.6,21.71,0,1,7,110.67,363
12-07-2023,1775.15,590.78,874.8,16.57,0,2,7,85.51,776
13-07-2023,1956.07,94.14,1079.89,25.08,0,3,7,110.37,806
14-07-2023,1771.15,498.39,1007.03,8.39,0,4,7,119.62,377
15-07-2023,546.14,661.93,643.27,15.57,0,5,7,123.84,140
16-07-2023,597.44,100.65,877.01,3.52,0,6,7,99.94,101
17-07-2023,1380.93,434.18,231.74,26.54,0,0,7,95.5,663
18-07-2023,720.35,243.92,316.03,5.25,0,1,7,113.9,0
19-07-2023,1522.51,547.19,1404.51,3.07,0,2,7,104.43,391
20-07-2023,1219.56,139.01,1166.11,6.15,0,3,7,91.58,376
21-07-2023,1191.64,752.79,1391.83,24.19,1,4,7,87.75,1178
22-07-2023,1691.38,721.05,1383.35,3.17,0,5,7,87.66,835
23-07-2023,1478.96,189.48,1009.15,18.43,0,6,7,100.66,706
24-07-2023,247.84,292.45,1399.53,22.39,0,0,7,87.66,510
25-07-2023,289.03,490.73,683.39,22.53,0,1,7,80.89,454
26-07-2023,1282.81,588.55,105.06,5.7,0,2,7,82.34,227
27-07-2023,1075.15,381.99,187.6,1.85,0,3,7,121.84,0
28-07-2023,668.33,167.22,253.28,13.46,0,4,7,83.28,136
29-07-2023,953.58,128.11,233.49,6.07,0,5,7,83.29,174
30-07-2023,1564.24,799.82,592.38,20.98,0,6,7,100.3,823
31-07-2023,1687.9,391.51,1081.78,10.7,0,0,7,91.03,636
01-08-2023,1210.2,704.4,1206.91,13.48,0,1,8,123.32,339
02-08-2023,893.67,411.78,926.3,3.4,0,2,8,120.99,0
03-08-2023,687.25,741.77,305.01,17.03,0,3,8,98.21,339
04-08-2023,1139.45,115.82,1147.06,5.57,0,4,8,100.19,165
05-08-2023,766.55,135.51,596.72,20.37,0,5,8,96.88,497
06-08-2023,1215.37,747.22,118.19,2.14,0,6,8,81.7,222
07-08-2023,1417.97,760.62,492.82,29.28,1,0,8,93.18,981
08-08-2023,318.94,286.04,562.84,20.54,0,1,8,85.52,121
09-08-2023,201.92,316.37,483.94,5.45,0,2,8,84.61,0
10-08-2023,582.1,389.34,1236.62,0.42,0,3,8,105.24,0
11-08-2023,1810.12,362.12,1163.9,10.03,0,4,8,84.44,595
12-08-2023,1363.32,192.53,1073.77,4.58,1,5,8,84.63,684
13-08-2023,509.53,723.78,294.61,6.55,0,6,8,101.62,107
14-08-2023,1802.48,239.98,1230.97,26.18,1,0,8,99.9,1146
15-08-2023,1045.92,578.95,1048.05,18.1,0,1,8,86.19,671
16-08-2023,1056.97,100.37,372.77,5.29,0,2,8,80.2,113
17-08-2023,1883.98,79.06,1007.33,16.7,0,3,8,88.68,693
18-08-2023,307.08,540.3,776.92,7.67,0,4,8,90.62,0
19-08-2023,587.32,304.26,715.09,29.29,0,5,8,116.01,395
20-08-2023,1254.39,541.59,256.97,0.98,0,6,8,121.19,0
21-08-2023,551.88,120.52,825.63,21.97,1,0,8,98.27,582
22-08-2023,1423.15,762.39,239.9,23.19,0,1,8,98.23,603
23-08-2023,585.37,611.39,329.95,2.01,1,2,8,112.06,145
24-08-2023,378.48,707.2,285.56,5.16,0,3,8,108.21,0
25-08-2023,572.57,152.35,1435.75,11.53,0,4,8,88.29,359
26-08-2023,960.92,290.12,498.81,26.04,0,5,8,84.85,633
27-08-2023,517.05,326.26,597.29,16.11,0,6,8,99.69,230
28-08-2023,442.45,452.88,550.91,19.66,0,0,8,105.42,112
29-08-2023,1748.51,272.65,1357.55,23.49,0,1,8,86.24,861
30-08-2023,776.71,95.47,888.15,24.84,0,2,8,93.2,536
31-08-2023,849.37,326.66,1386.82,14.29,0,3,8,93.77,436
01-09-2023,299.49,240.91,519.89,15.26,0,4,9,91.76,53
02-09-2023,843.27,339.44,260.77,21.54,0,5,9,100.73,313
03-09-2023,676.65,197.72,878.71,7.9,0,6,9,109.39,216
04-09-2023,1298.87,246.42,583.75,25.63,0,0,9,102.92,539
05-09-2023,569.7,520.21,1222.67,0.62,0,1,9,89.07,45
06-09-2023,1799.06,341.12,1331.19,5.87,0,2,9,84.63,556
07-09-2023,1873.4,309.04,761.6,24.01,0,3,9,116.98,550
08-09-2023,379.7,450.43,1459.9,10.21,0,4,9,101.57,160
09-09-2023,393.33,628.9,874.22,4.49,0,5,9,82.8,160
10-09-2023,407.59,334.15,479.29,5.6,0,6,9,91.62,45
11-09-2023,1315.22,490.64,784.57,15.92,0,0,9,116.18,372
12-09-2023,419.54,774.65,152.23,25.39,0,1,9,113.83,50
13-09-2023,1734.29,441.49,1225.6,2.12,0,2,9,119.41,173
14-09-2023,1557.69,732.35,242.01,0.91,0,3,9,107.09,56
15-09-2023,1675.66,645.25,532.25,13.96,0,4,9,99.03,433
16-09-2023,1146.91,94.04,891.44,28.69,0,5,9,99.2,762
17-09-2023,1994.02,371.82,160.17,8.37,0,6,9,88.73,558
18-09-2023,279.52,573.74,211.04,28.78,0,0,9,109.29,202
19-09-2023,922.28,790.03,1074.56,26.63,0,1,9,106.33,539
20-09-2023,783.09,393.78,200.49,8.49,0,2,9,86.97,42
21-09-2023,1907.56,119.59,767.92,24.51,0,3,9,119.85,448
22-09-2023,1238.35,471.51,574.17,20.58,1,4,9,96.58,763
23-09-2023,1651.14,144.92,419.31,15.35,0,5,9,82.24,615
24-09-2023,506.61,613.64,364.29,12.69,0,6,9,94.75,252
25-09-2023,1961.54,430.76,1168.78,24.47,0,0,9,119.14,681
26-09-2023,1097.55,592.57,1432.16,23.79,0,1,9,121.26,486
27-09-2023,1088.61,702.02,296.25,22.71,0,2,9,102.07,385
28-09-2023,1947.59,521.71,1443.55,29.95,0,3,9,123.04,886
29-09-2023,885.32,509.33,932.67,14.36,0,4,9,119.39,68
30-09-2023,915.55,615.93,998.32,24.21,0,5,9,117.14,535
01-10-2023,1252.55,681.84,1093.9,25.87,0,6,10,118.69,633
02-10-2023,430.49,701.79,1085.77,6.35,0,0,10,97.18,20
03-10-2023,777.95,77.32,1247.74,1.26,0,1,10,114.04,0
04-10-2023,547.77,467.14,776.86,12.14,0,2,10,105.98,39
05-10-2023,385.91,212.2,846.7,25.7,0,3,10,112.39,246
06-10-2023,1759.06,695.26,553.36,8.67,0,4,10,88,557
07-10-2023,1260.8,536.3,247.36,21,0,5,10,112.91,396
08-10-2023,845.61,365.17,1030.5,0.22,0,6,10,123.09,56
09-10-2023,935.6,191.08,147.05,10.66,0,0,10,93.62,32
10-10-2023,976.73,304.27,485.89,18.47,0,1,10,124.38,119
11-10-2023,1339.67,577.83,231.92,3.89,0,2,10,97.03,73
12-10-2023,1868.18,203.27,367.02,26.9,0,3,10,88.99,661
13-10-2023,1879,120.19,994.22,4.69,0,4,10,85.05,406
14-10-2023,904.69,716.02,979.87,27.29,0,5,10,115.32,447
15-10-2023,792.67,623.16,689.48,6.49,0,6,10,104.97,215
16-10-2023,1011.88,199.85,226.24,29.83,0,0,10,93.82,384
17-10-2023,1222.28,269.23,706.72,18.14,0,1,10,107.38,251
18-10-2023,1031.27,779.05,593.84,2.53,0,2,10,94.94,46
19-10-2023,1385.76,581.14,1108.64,1.96,0,3,10,100.18,237
20-10-2023,1197.92,507.89,910.64,2.25,1,4,10,118.82,387
21-10-2023,777.29,280.72,788.19,17.7,0,5,10,110.07,380
22-10-2023,822.32,274.34,781.77,24.29,0,6,10,114.31,274
23-10-2023,881.47,79.64,1452.82,12.09,0,0,10,106.26,203
24-10-2023,370.35,596.36,1158.81,13.35,1,1,10,124.61,214
25-10-2023,498.91,82.38,795.77,17.68,0,2,10,90.86,226
26-10-2023,1501.6,53.64,770.91,15.99,0,3,10,91.8,441
27-10-2023,900.37,597.12,137.07,20.64,0,4,10,84.17,305
28-10-2023,586.17,761.66,1419.51,14.15,0,5,10,104.93,409
29-10-2023,1212.81,617.38,546.84,21.42,0,6,10,107.6,461
30-10-2023,1559.97,403.73,458.31,29.92,0,0,10,112.67,630
31-10-2023,663.36,414.53,1499.17,10.51,0,1,10,95.1,307
01-11-2023,1688.22,377.1,1106.17,0.37,0,2,11,80.55,461
02-11-2023,1869.51,293.48,166.31,3.77,0,3,11,108.45,0
03-11-2023,1275.31,441.29,186.64,16.61,0,4,11,124.94,87
04-11-2023,1404.11,373.36,135.7,10.33,0,5,11,93.25,439
05-11-2023,294.64,498.63,939.47,28.2,0,6,11,88.28,621
06-11-2023,1901.94,723.59,200.19,18.82,0,0,11,92.68,497
07-11-2023,906.47,796.26,1406.74,15.61,0,1,11,99.14,458
08-11-2023,1863.02,109.06,1411.67,23.94,0,2,11,91.29,778
09-11-2023,1242.16,338.51,864.48,7.76,0,3,11,95.61,352
10-11-2023,208.31,185.53,963.29,24.59,0,4,11,108.72,166
11-11-2023,269.38,314.09,508.65,0.09,0,5,11,95.53,0
12-11-2023,1424.75,265.6,189.56,18.59,0,6,11,97.82,442
13-11-2023,1212.8,180.9,1132.44,28.04,0,0,11,81.8,598
14-11-2023,247.76,623.06,242.5,23.64,0,1,11,121.31,0
15-11-2023,1538.23,422.22,219.78,25.61,0,2,11,98.31,524
16-11-2023,1733.86,739.43,535.71,11.91,1,3,11,94.77,812
17-11-2023,1093.55,74.44,117.45,24.73,0,4,11,83.89,282
18-11-2023,1038.36,100.23,707.65,16.52,0,5,11,108.54,275
19-11-2023,209.85,352.46,1090.75,18.56,0,6,11,118.87,197
20-11-2023,1615.97,110.21,1221.89,1.77,0,0,11,81.85,316
21-11-2023,795.29,247.05,946.03,6.05,0,1,11,86.54,170
22-11-2023,1781.77,789.52,1285.62,16.53,0,2,11,86.59,818
23-11-2023,871.51,206.72,669.1,1.76,0,3,11,107.1,0
24-11-2023,1217.14,198.59,1288.28,22.24,0,4,11,121.46,385
25-11-2023,686.62,480.23,809.06,25.2,0,5,11,99.7,490
26-11-2023,489.06,423.5,412.25,27.61,0,6,11,95.47,463
27-11-2023,1594.83,485.33,1421.8,3.05,0,0,11,114.46,223
28-11-2023,1093.86,332.55,484.96,28.19,0,1,11,113.42,359
29-11-2023,1165.68,670.07,136.68,2.03,0,2,11,91.1,38
30-11-2023,1937.75,153.94,439.74,14.22,0,3,11,87.24,507
01-12-2023,1934.44,371.29,613.36,25.21,0,4,12,96.1,810
02-12-2023,1740.16,567.32,591.89,2.11,0,5,12,114.9,329
03-12-2023,537.7,701.18,834.53,0.55,0,6,12,111.28,0
04-12-2023,1269.69,327.18,1336.38,0.75,0,0,12,109.96,185
05-12-2023,1780.67,475.81,509.27,15.34,0,1,12,117.32,469
06-12-2023,874.04,101.85,829.08,24.35,1,2,12,92.47,688
07-12-2023,381.99,177.74,576.19,3.82,0,3,12,95.29,0
08-12-2023,1659.73,101.85,1250.48,3.74,1,4,12,81.91,755
09-12-2023,1067.17,595.91,320.64,17.06,0,5,12,119.09,278
10-12-2023,1215.91,266.04,244.91,7.03,0,6,12,106.21,70
11-12-2023,1967.86,592.81,804.19,21.91,0,0,12,93.42,892
12-12-2023,1292.98,99.8,1040.64,28.49,0,1,12,83.12,723
13-12-2023,964.96,696.91,1213.74,22.98,1,2,12,112.55,844
14-12-2023,865.97,676.65,925.47,26.32,0,3,12,113.69,429
15-12-2023,951.71,116.7,1183.39,15.59,0,4,12,109.98,243
16-12-2023,413.12,67.82,649.79,24.97,0,5,12,89.17,481
17-12-2023,1630.55,92.22,146.01,5.49,0,6,12,121.09,154
18-12-2023,1707.89,690.22,262.54,2.05,0,0,12,113.89,146
19-12-2023,711.91,226.03,154.21,19.68,0,1,12,109.6,117
20-12-2023,746.83,461.2,560.52,1.56,0,2,12,109.29,0
21-12-2023,1773.8,369.68,793.69,26.77,0,3,12,120.7,610
22-12-2023,243.15,646.64,598.84,20.75,0,4,12,121.77,6
23-12-2023,1136.82,416.67,884.84,28.57,0,5,12,106.8,737
24-12-2023,1034.62,425.5,772.85,9.42,0,6,12,98.75,307
25-12-2023,1442.23,791.82,1049.12,14.58,0,0,12,96.37,676
26-12-2023,494.11,162.6,1033.75,22.25,0,1,12,116.86,170
27-12-2023,1403,673.03,545.29,7.28,1,2,12,109.01,511
28-12-2023,878.12,88.81,584.7,16.26,0,3,12,83.48,358
29-12-2023,1313.69,408.24,919.21,19.78,0,4,12,86.4,622
30-12-2023,272.17,714.75,935.01,29.36,0,5,12,120.51,395
31-12-2023,1031.11,548.91,540.58,22.34,0,6,12,119.8,399
01-01-2024,1140.05,563.91,562.45,3.54,0,0,1,122.83,70
02-01-2024,585.79,247.49,1071.66,14.26,0,1,1,99.25,232
03-01-2024,451.32,363.93,1006.38,17.66,0,2,1,115.28,176
04-01-2024,539.25,324.94,289.07,4.4,0,3,1,117.27,0
05-01-2024,819.45,441.08,717.46,12.96,0,4,1,94.21,354
06-01-2024,374.26,396.67,1349.79,8.52,0,5,1,86.54,383
07-01-2024,1905.18,295.17,150.83,3.56,0,6,1,124.87,307
08-01-2024,928.99,279.11,1297.23,15.36,0,0,1,81.36,563
09-01-2024,1656.15,238.14,328.45,4.97,0,1,1,106.88,190
10-01-2024,1953.95,323.79,810.15,17.72,0,2,1,109.26,617
11-01-2024,345.32,162.46,694.07,5.09,0,3,1,110.68,0
12-01-2024,1373.01,704.08,114.18,21.71,1,4,1,91.5,787
13-01-2024,1768.54,501.59,1381.56,5.86,0,5,1,112.47,574
14-01-2024,1341.62,150.34,736.9,26.89,0,6,1,89.74,870
15-01-2024,972.25,570.39,1435.98,0.79,0,0,1,117.31,151
16-01-2024,975.94,685.75,501.44,15.66,0,1,1,89.86,403
17-01-2024,264.62,228.15,1312.79,9.6,1,2,1,111.35,400
18-01-2024,1162.28,162.95,1391.35,6.75,0,3,1,115.25,334
19-01-2024,1988.38,56.46,879.57,14.15,0,4,1,88.5,754
20-01-2024,1925.67,85.44,383.75,25.26,0,5,1,90.71,810
21-01-2024,272.72,621.69,1059.35,27.46,1,6,1,115.06,728
22-01-2024,1470.43,790.39,868.57,9.1,0,0,1,83.87,701
